seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
0,0,VQC,arm4,0.1,global,184,0.6087,0.6727,0.6626
0,0,VQC,arm4,0.1,0,61,0.4754,0.0,nan
0,0,VQC,arm4,0.1,1,100,0.74,0.8506,nan
0,0,VQC,arm4,0.1,2,14,0.3571,0.0,nan
0,0,VQC,arm4,0.1,3,9,0.4444,0.0,0.25
0,1,VQC,arm4,0.1,global,184,0.6576,0.7319,0.6534
0,1,VQC,arm4,0.1,0,59,0.4237,0.0,nan
0,1,VQC,arm4,0.1,1,102,0.8431,0.9149,nan
0,1,VQC,arm4,0.1,2,16,0.375,0.0,nan
0,1,VQC,arm4,0.1,3,7,0.5714,0.0,nan
0,2,VQC,arm4,0.1,global,184,0.6685,0.7289,0.6996
0,2,VQC,arm4,0.1,0,64,0.5156,0.0,nan
0,2,VQC,arm4,0.1,1,102,0.8039,0.8913,nan
0,2,VQC,arm4,0.1,2,10,0.4,0.0,nan
0,2,VQC,arm4,0.1,3,8,0.5,0.0,nan
0,3,VQC,arm4,0.1,global,184,0.663,0.7019,0.7049
0,3,VQC,arm4,0.1,0,57,0.614,0.0,nan
0,3,VQC,arm4,0.1,1,103,0.7184,0.8343,0.9706
0,3,VQC,arm4,0.1,2,16,0.4375,0.0,nan
0,3,VQC,arm4,0.1,3,8,0.75,0.0,nan
0,4,VQC,arm4,0.1,global,184,0.6957,0.7407,0.7197
0,4,VQC,arm4,0.1,0,60,0.6333,0.0,nan
0,4,VQC,arm4,0.1,1,102,0.7843,0.8791,nan
0,4,VQC,arm4,0.1,2,13,0.5385,0.0,nan
0,4,VQC,arm4,0.1,3,9,0.3333,0.0,nan
1,0,VQC,arm4,0.1,global,184,0.7174,0.7524,0.7929
1,0,VQC,arm4,0.1,0,19,0.4737,0.4444,0.7583
1,0,VQC,arm4,0.1,1,34,0.7353,0.7805,0.7812
1,0,VQC,arm4,0.1,2,55,0.7273,0.1176,0.6538
1,0,VQC,arm4,0.1,3,76,0.7632,0.8657,nan
1,1,VQC,arm4,0.1,global,184,0.7283,0.7619,0.7909
1,1,VQC,arm4,0.1,0,12,0.6667,0.6,1.0
1,1,VQC,arm4,0.1,1,31,0.7419,0.6667,0.8024
1,1,VQC,arm4,0.1,2,53,0.6604,0.1,1.0
1,1,VQC,arm4,0.1,3,88,0.7727,0.8718,nan
1,2,VQC,arm4,0.1,global,184,0.7446,0.7685,0.7715
1,2,VQC,arm4,0.1,0,18,0.8333,0.6667,0.7411
1,2,VQC,arm4,0.1,1,36,0.6944,0.6452,0.7663
1,2,VQC,arm4,0.1,2,50,0.66,0.1053,0.8367
1,2,VQC,arm4,0.1,3,80,0.8,0.8889,nan
1,3,VQC,arm4,0.1,global,184,0.7228,0.756,0.8043
1,3,VQC,arm4,0.1,0,13,0.9231,0.8571,0.9333
1,3,VQC,arm4,0.1,1,35,0.7143,0.7368,0.7353
1,3,VQC,arm4,0.1,2,58,0.6379,0.2222,0.8727
1,3,VQC,arm4,0.1,3,78,0.7564,0.8613,nan
1,4,VQC,arm4,0.1,global,184,0.7663,0.7923,0.869
1,4,VQC,arm4,0.1,0,14,0.7143,0.6667,1.0
1,4,VQC,arm4,0.1,1,33,0.7273,0.7097,0.8382
1,4,VQC,arm4,0.1,2,55,0.7273,0.0,nan
1,4,VQC,arm4,0.1,3,82,0.8171,0.8993,nan
2,0,VQC,arm4,0.1,global,184,0.7174,0.7615,0.8077
2,0,VQC,arm4,0.1,0,32,0.7188,0.0,nan
2,0,VQC,arm4,0.1,1,67,0.5672,0.4528,0.6801
2,0,VQC,arm4,0.1,2,55,0.7818,0.8776,nan
2,0,VQC,arm4,0.1,3,30,0.9333,0.9655,nan
2,1,VQC,arm4,0.1,global,184,0.7446,0.7793,0.825
2,1,VQC,arm4,0.1,0,18,0.7778,0.0,nan
2,1,VQC,arm4,0.1,1,77,0.6753,0.4898,0.8339
2,1,VQC,arm4,0.1,2,59,0.7797,0.8762,nan
2,1,VQC,arm4,0.1,3,30,0.8333,0.9091,0.7586
2,2,VQC,arm4,0.1,global,184,0.7228,0.7463,0.7671
2,2,VQC,arm4,0.1,0,22,0.6364,0.0,nan
2,2,VQC,arm4,0.1,1,80,0.75,0.6154,0.8075
2,2,VQC,arm4,0.1,2,59,0.7119,0.8317,nan
2,2,VQC,arm4,0.1,3,23,0.7391,0.85,nan
2,3,VQC,arm4,0.1,global,184,0.7391,0.7736,0.8142
2,3,VQC,arm4,0.1,0,29,0.7241,0.0,nan
2,3,VQC,arm4,0.1,1,70,0.6571,0.52,0.7808
2,3,VQC,arm4,0.1,2,62,0.7742,0.8727,nan
2,3,VQC,arm4,0.1,3,23,0.913,0.9545,nan
2,4,VQC,arm4,0.1,global,184,0.7228,0.7512,0.7704
2,4,VQC,arm4,0.1,0,32,0.7188,0.0,nan
2,4,VQC,arm4,0.1,1,68,0.6765,0.5417,0.7089
2,4,VQC,arm4,0.1,2,54,0.7963,0.8866,nan
2,4,VQC,arm4,0.1,3,30,0.7,0.8235,nan
3,0,VQC,arm4,0.1,global,184,0.6902,0.7299,0.7646
3,0,VQC,arm4,0.1,0,36,0.7222,0.8387,nan
3,0,VQC,arm4,0.1,1,50,0.6,0.0909,0.6531
3,0,VQC,arm4,0.1,2,87,0.7471,0.8197,0.7745
3,0,VQC,arm4,0.1,3,11,0.5455,0.0,nan
3,1,VQC,arm4,0.1,global,184,0.6359,0.6941,0.7205
3,1,VQC,arm4,0.1,0,30,0.7,0.8235,nan
3,1,VQC,arm4,0.1,1,50,0.48,0.0,0.1429
3,1,VQC,arm4,0.1,2,90,0.7222,0.812,0.7936
3,1,VQC,arm4,0.1,3,14,0.5,0.2222,0.8462
3,2,VQC,arm4,0.1,global,184,0.6739,0.7248,0.7229
3,2,VQC,arm4,0.1,0,30,0.7,0.8235,nan
3,2,VQC,arm4,0.1,1,46,0.5,0.0,nan
3,2,VQC,arm4,0.1,2,96,0.7604,0.8345,0.8351
3,2,VQC,arm4,0.1,3,12,0.5833,0.0,nan
3,3,VQC,arm4,0.1,global,184,0.7228,0.7628,0.7863
3,3,VQC,arm4,0.1,0,36,0.8056,0.8923,nan
3,3,VQC,arm4,0.1,1,42,0.619,0.1111,0.8537
3,3,VQC,arm4,0.1,2,85,0.7765,0.8455,0.8077
3,3,VQC,arm4,0.1,3,21,0.5714,0.0,nan
3,4,VQC,arm4,0.1,global,184,0.6739,0.717,0.7378
3,4,VQC,arm4,0.1,0,30,0.7667,0.8679,nan
3,4,VQC,arm4,0.1,1,41,0.5854,0.0,nan
3,4,VQC,arm4,0.1,2,95,0.7053,0.791,0.7264
3,4,VQC,arm4,0.1,3,18,0.5556,0.0,nan
4,0,VQC,arm4,0.1,global,184,0.7663,0.7923,0.8122
4,0,VQC,arm4,0.1,0,27,0.8519,0.92,nan
4,0,VQC,arm4,0.1,1,50,0.8,0.8889,nan
4,0,VQC,arm4,0.1,2,84,0.7143,0.1429,0.9146
4,0,VQC,arm4,0.1,3,23,0.7826,0.8718,0.8182
4,1,VQC,arm4,0.1,global,184,0.7609,0.7755,0.8267
4,1,VQC,arm4,0.1,0,20,0.7,0.8235,nan
4,1,VQC,arm4,0.1,1,57,0.7544,0.86,nan
4,1,VQC,arm4,0.1,2,84,0.7857,0.1818,0.939
4,1,VQC,arm4,0.1,3,23,0.7391,0.85,nan
4,2,VQC,arm4,0.1,global,184,0.7826,0.8077,0.836
4,2,VQC,arm4,0.1,0,26,0.8077,0.8936,nan
4,2,VQC,arm4,0.1,1,56,0.8214,0.902,nan
4,2,VQC,arm4,0.1,2,83,0.7349,0.0833,0.9634
4,2,VQC,arm4,0.1,3,19,0.8421,0.9143,nan
4,3,VQC,arm4,0.1,global,184,0.712,0.7535,0.8095
4,3,VQC,arm4,0.1,0,25,0.8,0.8889,nan
4,3,VQC,arm4,0.1,1,46,0.8478,0.9176,nan
4,3,VQC,arm4,0.1,2,84,0.6071,0.0571,0.6463
4,3,VQC,arm4,0.1,3,29,0.7241,0.84,nan
4,4,VQC,arm4,0.1,global,184,0.7391,0.7624,0.7881
4,4,VQC,arm4,0.1,0,27,0.8148,0.898,nan
4,4,VQC,arm4,0.1,1,51,0.7451,0.8539,nan
4,4,VQC,arm4,0.1,2,84,0.7262,0.1481,0.8171
4,4,VQC,arm4,0.1,3,22,0.6818,0.8108,nan
5,0,VQC,arm4,0.1,global,184,0.7011,0.7343,0.78
5,0,VQC,arm4,0.1,0,101,0.7525,0.8571,0.7626
5,0,VQC,arm4,0.1,1,20,0.55,0.0,0.2632
5,0,VQC,arm4,0.1,2,1,1.0,1.0,nan
