seed,fold,model,condition,round,mean_pairwise_l2
0,0,VQC-circmean,0.1,0,0.611929
0,0,VQC-circmean,0.1,1,0.598664
0,0,VQC-circmean,0.1,2,0.576732
0,0,VQC-circmean,0.1,3,0.547008
0,0,VQC-circmean,0.1,4,0.512544
0,0,VQC-circmean,0.1,5,0.476991
0,0,VQC-circmean,0.1,6,0.443514
0,0,VQC-circmean,0.1,7,0.414239
0,0,VQC-circmean,0.1,8,0.389906
0,0,VQC-circmean,0.1,9,0.370236
0,0,VQC-circmean,0.1,10,0.354553
0,0,VQC-circmean,0.1,11,0.342147
0,0,VQC-circmean,0.1,12,0.332376
0,0,VQC-circmean,0.1,13,0.324678
0,0,VQC-circmean,0.1,14,0.318558
0,0,VQC-circmean,0.1,15,0.313577
0,0,VQC-circmean,0.1,16,0.309356
0,0,VQC-circmean,0.1,17,0.305578
0,0,VQC-circmean,0.1,18,0.301992
0,0,VQC-circmean,0.1,19,0.298424
0,1,VQC-circmean,0.1,0,0.623462
0,1,VQC-circmean,0.1,1,0.610351
0,1,VQC-circmean,0.1,2,0.589609
0,1,VQC-circmean,0.1,3,0.560773
0,1,VQC-circmean,0.1,4,0.525914
0,1,VQC-circmean,0.1,5,0.488625
0,1,VQC-circmean,0.1,6,0.45219
0,1,VQC-circmean,0.1,7,0.419061
0,1,VQC-circmean,0.1,8,0.390625
0,1,VQC-circmean,0.1,9,0.367258
0,1,VQC-circmean,0.1,10,0.348664
0,1,VQC-circmean,0.1,11,0.334237
0,1,VQC-circmean,0.1,12,0.323281
0,1,VQC-circmean,0.1,13,0.315113
0,1,VQC-circmean,0.1,14,0.309109
0,1,VQC-circmean,0.1,15,0.304725
0,1,VQC-circmean,0.1,16,0.301492
0,1,VQC-circmean,0.1,17,0.29901
0,1,VQC-circmean,0.1,18,0.296939
0,1,VQC-circmean,0.1,19,0.294997
0,2,VQC-circmean,0.1,0,0.597858
0,2,VQC-circmean,0.1,1,0.585639
0,2,VQC-circmean,0.1,2,0.566007
0,2,VQC-circmean,0.1,3,0.53998
0,2,VQC-circmean,0.1,4,0.509723
0,2,VQC-circmean,0.1,5,0.477932
0,2,VQC-circmean,0.1,6,0.447014
0,2,VQC-circmean,0.1,7,0.418668
0,2,VQC-circmean,0.1,8,0.393822
0,2,VQC-circmean,0.1,9,0.372776
0,2,VQC-circmean,0.1,10,0.355407
0,2,VQC-circmean,0.1,11,0.341337
0,2,VQC-circmean,0.1,12,0.330057
0,2,VQC-circmean,0.1,13,0.321021
0,2,VQC-circmean,0.1,14,0.313707
0,2,VQC-circmean,0.1,15,0.307647
0,2,VQC-circmean,0.1,16,0.302441
0,2,VQC-circmean,0.1,17,0.29776
0,2,VQC-circmean,0.1,18,0.293358
0,2,VQC-circmean,0.1,19,0.289065
0,3,VQC-circmean,0.1,0,0.619777
