model,condition,observed_worst_client_accuracy,composition_only_worst_client_accuracy
LR,100,0.69423,0.6942341553165723
LR,1.0,0.668968,0.6793470899715001
LR,0.5,0.659974,0.6612895966314603
LR,0.1,0.6475719999999999,0.6559803218068143
LR,natural,0.693214,0.6996813959612613
MLP,100,0.69914,0.6991374986536126
MLP,1.0,0.67274,0.6848308335851016
MLP,0.5,0.651446,0.6690725271386267
MLP,0.1,0.51452,0.649153932084736
MLP,natural,0.707714,0.6995736214651521
VQC,100,0.648762,0.648762
VQC,1.0,0.622196,0.615842
VQC,0.5,0.59437,0.596648
VQC,0.1,0.576252,0.563832
VQC,natural,0.641406,0.638002
