seed,fold,model,condition,round,mean_pairwise_l2
0,0,LR,100,0,0.058764
0,0,LR,100,1,0.058103
0,0,LR,100,2,0.058239
0,0,LR,100,3,0.058789
0,0,LR,100,4,0.059487
0,0,LR,100,5,0.060198
0,0,LR,100,6,0.060864
0,0,LR,100,7,0.061463
0,0,LR,100,8,0.06199
0,0,LR,100,9,0.062449
0,0,LR,100,10,0.062846
0,0,LR,100,11,0.063189
0,0,LR,100,12,0.063486
0,0,LR,100,13,0.063744
0,0,LR,100,14,0.063968
0,0,LR,100,15,0.064165
0,0,LR,100,16,0.064338
0,0,LR,100,17,0.064491
0,0,LR,100,18,0.064628
0,0,LR,100,19,0.064751
0,0,LR,1.0,0,0.097454
0,0,LR,1.0,1,0.097219
0,0,LR,1.0,2,0.09844
0,0,LR,1.0,3,0.099799
0,0,LR,1.0,4,0.101118
0,0,LR,1.0,5,0.102326
0,0,LR,1.0,6,0.1034
0,0,LR,1.0,7,0.104339
0,0,LR,1.0,8,0.105154
0,0,LR,1.0,9,0.105859
0,0,LR,1.0,10,0.10647
0,0,LR,1.0,11,0.107
0,0,LR,1.0,12,0.107463
0,0,LR,1.0,13,0.107868
0,0,LR,1.0,14,0.108226
0,0,LR,1.0,15,0.108543
0,0,LR,1.0,16,0.108826
0,0,LR,1.0,17,0.109081
0,0,LR,1.0,18,0.109312
0,0,LR,1.0,19,0.109522
0,0,LR,0.5,0,0.398039
0,0,LR,0.5,1,0.392722
0,0,LR,0.5,2,0.388844
0,0,LR,0.5,3,0.38633
0,0,LR,0.5,4,0.384759
0,0,LR,0.5,5,0.383776
0,0,LR,0.5,6,0.383153
0,0,LR,0.5,7,0.382747
0,0,LR,0.5,8,0.382471
0,0,LR,0.5,9,0.382272
0,0,LR,0.5,10,0.382118
0,0,LR,0.5,11,0.381988
0,0,LR,0.5,12,0.381872
0,0,LR,0.5,13,0.381763
0,0,LR,0.5,14,0.381657
0,0,LR,0.5,15,0.381553
0,0,LR,0.5,16,0.38145
0,0,LR,0.5,17,0.381349
0,0,LR,0.5,18,0.381249
0,0,LR,0.5,19,0.381151
0,0,LR,0.1,0,0.531163
0,0,LR,0.1,1,0.521838
0,0,LR,0.1,2,0.515171
0,0,LR,0.1,3,0.509831
0,0,LR,0.1,4,0.50547
0,0,LR,0.1,5,0.501862
0,0,LR,0.1,6,0.498838
0,0,LR,0.1,7,0.496272
0,0,LR,0.1,8,0.494068
0,0,LR,0.1,9,0.492155
0,0,LR,0.1,10,0.490477
0,0,LR,0.1,11,0.488992
0,0,LR,0.1,12,0.487667
0,0,LR,0.1,13,0.486477
0,0,LR,0.1,14,0.4854
0,0,LR,0.1,15,0.484422
0,0,LR,0.1,16,0.483528
0,0,LR,0.1,17,0.482707
0,0,LR,0.1,18,0.481952
0,0,LR,0.1,19,0.481254
0,0,LR,natural,0,0.300094
0,0,LR,natural,1,0.294405
0,0,LR,natural,2,0.289231
0,0,LR,natural,3,0.285153
0,0,LR,natural,4,0.281805
0,0,LR,natural,5,0.27891
0,0,LR,natural,6,0.276308
0,0,LR,natural,7,0.27391
0,0,LR,natural,8,0.271666
0,0,LR,natural,9,0.269546
0,0,LR,natural,10,0.267533
0,0,LR,natural,11,0.265614
0,0,LR,natural,12,0.263784
0,0,LR,natural,13,0.262036
0,0,LR,natural,14,0.260366
0,0,LR,natural,15,0.258771
0,0,LR,natural,16,0.257248
0,0,LR,natural,17,0.255792
0,0,LR,natural,18,0.254402
0,0,LR,natural,19,0.253075
0,0,MLP,100,0,0.153356
0,0,MLP,100,1,0.126483
0,0,MLP,100,2,0.124043
0,0,MLP,100,3,0.144204
0,0,MLP,100,4,0.178116
0,0,MLP,100,5,0.212514
0,0,MLP,100,6,0.238428
0,0,MLP,100,7,0.255689
0,0,MLP,100,8,0.264299
0,0,MLP,100,9,0.269224
0,0,MLP,100,10,0.270217
0,0,MLP,100,11,0.270977
0,0,MLP,100,12,0.270201
0,0,MLP,100,13,0.270014
0,0,MLP,100,14,0.269402
0,0,MLP,100,15,0.269314
0,0,MLP,100,16,0.269258
0,0,MLP,100,17,0.269559
0,0,MLP,100,18,0.270022
0,0,MLP,100,19,0.270725
0,0,MLP,1.0,0,0.232483
0,0,MLP,1.0,1,0.208008
0,0,MLP,1.0,2,0.211501
0,0,MLP,1.0,3,0.226167
0,0,MLP,1.0,4,0.249639
0,0,MLP,1.0,5,0.284409
0,0,MLP,1.0,6,0.317128
0,0,MLP,1.0,7,0.333603
0,0,MLP,1.0,8,0.339267
0,0,MLP,1.0,9,0.339894
0,0,MLP,1.0,10,0.338652
0,0,MLP,1.0,11,0.336485
0,0,MLP,1.0,12,0.334832
0,0,MLP,1.0,13,0.332821
0,0,MLP,1.0,14,0.331887
0,0,MLP,1.0,15,0.330617
0,0,MLP,1.0,16,0.330268
0,0,MLP,1.0,17,0.329738
0,0,MLP,1.0,18,0.329762
0,0,MLP,1.0,19,0.329773
0,0,MLP,0.5,0,0.875436
0,0,MLP,0.5,1,0.76636
0,0,MLP,0.5,2,0.706622
0,0,MLP,0.5,3,0.699645
0,0,MLP,0.5,4,0.718643
0,0,MLP,0.5,5,0.727088
0,0,MLP,0.5,6,0.731368
0,0,MLP,0.5,7,0.732718
0,0,MLP,0.5,8,0.732673
0,0,MLP,0.5,9,0.727362
0,0,MLP,0.5,10,0.718985
0,0,MLP,0.5,11,0.709068
0,0,MLP,0.5,12,0.699634
0,0,MLP,0.5,13,0.690874
0,0,MLP,0.5,14,0.682564
0,0,MLP,0.5,15,0.674706
0,0,MLP,0.5,16,0.667449
0,0,MLP,0.5,17,0.661065
0,0,MLP,0.5,18,0.65594
0,0,MLP,0.5,19,0.652496
0,0,MLP,0.1,0,1.014925
0,0,MLP,0.1,1,1.080746
0,0,MLP,0.1,2,1.215239
0,0,MLP,0.1,3,1.292702
0,0,MLP,0.1,4,1.341883
0,0,MLP,0.1,5,1.286214
0,0,MLP,0.1,6,0.963876
0,0,MLP,0.1,7,1.165017
0,0,MLP,0.1,8,1.058222
0,0,MLP,0.1,9,1.153649
0,0,MLP,0.1,10,0.990894
0,0,MLP,0.1,11,1.141767
0,0,MLP,0.1,12,1.071587
0,0,MLP,0.1,13,1.091818
0,0,MLP,0.1,14,1.069124
0,0,MLP,0.1,15,1.111648
0,0,MLP,0.1,16,1.079487
0,0,MLP,0.1,17,1.133572
0,0,MLP,0.1,18,1.077795
0,0,MLP,0.1,19,1.160192
0,0,MLP,natural,0,0.75308
0,0,MLP,natural,1,0.639659
0,0,MLP,natural,2,0.588117
0,0,MLP,natural,3,0.558117
0,0,MLP,natural,4,0.539077
0,0,MLP,natural,5,0.522212
0,0,MLP,natural,6,0.515093
0,0,MLP,natural,7,0.518746
0,0,MLP,natural,8,0.517801
0,0,MLP,natural,9,0.513689
0,0,MLP,natural,10,0.505625
0,0,MLP,natural,11,0.506405
0,0,MLP,natural,12,0.487261
0,0,MLP,natural,13,0.486384
0,0,MLP,natural,14,0.488173
0,0,MLP,natural,15,0.452952
0,0,MLP,natural,16,0.480381
0,0,MLP,natural,17,0.457625
0,0,MLP,natural,18,0.472584
0,0,MLP,natural,19,0.457449
0,1,LR,100,0,0.038202
0,1,LR,100,1,0.038008
0,1,LR,100,2,0.039347
0,1,LR,100,3,0.040864
0,1,LR,100,4,0.042319
0,1,LR,100,5,0.043631
0,1,LR,100,6,0.044787
0,1,LR,100,7,0.045794
0,1,LR,100,8,0.04667
0,1,LR,100,9,0.047431
0,1,LR,100,10,0.048096
0,1,LR,100,11,0.048679
0,1,LR,100,12,0.049193
0,1,LR,100,13,0.049649
0,1,LR,100,14,0.050055
0,1,LR,100,15,0.050419
0,1,LR,100,16,0.050747
0,1,LR,100,17,0.051045
0,1,LR,100,18,0.051317
0,1,LR,100,19,0.051565
0,1,LR,1.0,0,0.117178
0,1,LR,1.0,1,0.114222
0,1,LR,1.0,2,0.113547
0,1,LR,1.0,3,0.113312
0,1,LR,1.0,4,0.113263
0,1,LR,1.0,5,0.113287
0,1,LR,1.0,6,0.113329
0,1,LR,1.0,7,0.113362
0,1,LR,1.0,8,0.113376
0,1,LR,1.0,9,0.113369
0,1,LR,1.0,10,0.113343
0,1,LR,1.0,11,0.1133
0,1,LR,1.0,12,0.113244
0,1,LR,1.0,13,0.113179
0,1,LR,1.0,14,0.113106
0,1,LR,1.0,15,0.113029
0,1,LR,1.0,16,0.112949
0,1,LR,1.0,17,0.112869
0,1,LR,1.0,18,0.112789
0,1,LR,1.0,19,0.112711
0,1,LR,0.5,0,0.375792
0,1,LR,0.5,1,0.369248
0,1,LR,0.5,2,0.363482
0,1,LR,0.5,3,0.359211
0,1,LR,0.5,4,0.356078
0,1,LR,0.5,5,0.353728
0,1,LR,0.5,6,0.351916
0,1,LR,0.5,7,0.350483
0,1,LR,0.5,8,0.349322
0,1,LR,0.5,9,0.34836
0,1,LR,0.5,10,0.347548
0,1,LR,0.5,11,0.346853
0,1,LR,0.5,12,0.346248
0,1,LR,0.5,13,0.345718
0,1,LR,0.5,14,0.345248
0,1,LR,0.5,15,0.344828
0,1,LR,0.5,16,0.344451
0,1,LR,0.5,17,0.344112
0,1,LR,0.5,18,0.343804
0,1,LR,0.5,19,0.343525
0,1,LR,0.1,0,0.528349
0,1,LR,0.1,1,0.517791
0,1,LR,0.1,2,0.510583
0,1,LR,0.1,3,0.504766
0,1,LR,0.1,4,0.499926
0,1,LR,0.1,5,0.495841
0,1,LR,0.1,6,0.492356
0,1,LR,0.1,7,0.48935
0,1,LR,0.1,8,0.486734
0,1,LR,0.1,9,0.484436
0,1,LR,0.1,10,0.482401
0,1,LR,0.1,11,0.480587
0,1,LR,0.1,12,0.478959
0,1,LR,0.1,13,0.47749
0,1,LR,0.1,14,0.476157
0,1,LR,0.1,15,0.474943
0,1,LR,0.1,16,0.473832
0,1,LR,0.1,17,0.472811
0,1,LR,0.1,18,0.471871
0,1,LR,0.1,19,0.471002
0,1,LR,natural,0,0.281975
0,1,LR,natural,1,0.275524
0,1,LR,natural,2,0.269514
0,1,LR,natural,3,0.264706
0,1,LR,natural,4,0.260733
0,1,LR,natural,5,0.257307
0,1,LR,natural,6,0.254259
0,1,LR,natural,7,0.251488
0,1,LR,natural,8,0.248933
0,1,LR,natural,9,0.246556
0,1,LR,natural,10,0.24433
0,1,LR,natural,11,0.242236
0,1,LR,natural,12,0.240262
0,1,LR,natural,13,0.238398
0,1,LR,natural,14,0.236634
0,1,LR,natural,15,0.234963
0,1,LR,natural,16,0.23338
0,1,LR,natural,17,0.231879
0,1,LR,natural,18,0.230455
0,1,LR,natural,19,0.229103
0,1,MLP,100,0,0.117558
0,1,MLP,100,1,0.102668
0,1,MLP,100,2,0.118315
0,1,MLP,100,3,0.146616
0,1,MLP,100,4,0.182243
0,1,MLP,100,5,0.220682
0,1,MLP,100,6,0.262707
0,1,MLP,100,7,0.281733
0,1,MLP,100,8,0.291415
0,1,MLP,100,9,0.290296
0,1,MLP,100,10,0.292053
0,1,MLP,100,11,0.289675
0,1,MLP,100,12,0.28942
0,1,MLP,100,13,0.287824
0,1,MLP,100,14,0.287009
0,1,MLP,100,15,0.285978
0,1,MLP,100,16,0.285223
0,1,MLP,100,17,0.284572
0,1,MLP,100,18,0.28412
0,1,MLP,100,19,0.283873
0,1,MLP,1.0,0,0.269771
0,1,MLP,1.0,1,0.241194
0,1,MLP,1.0,2,0.23789
0,1,MLP,1.0,3,0.249948
0,1,MLP,1.0,4,0.277471
0,1,MLP,1.0,5,0.312964
0,1,MLP,1.0,6,0.336939
0,1,MLP,1.0,7,0.348862
0,1,MLP,1.0,8,0.355186
0,1,MLP,1.0,9,0.357528
0,1,MLP,1.0,10,0.358996
0,1,MLP,1.0,11,0.358915
0,1,MLP,1.0,12,0.358861
0,1,MLP,1.0,13,0.358113
0,1,MLP,1.0,14,0.357346
0,1,MLP,1.0,15,0.356305
0,1,MLP,1.0,16,0.35517
0,1,MLP,1.0,17,0.353899
0,1,MLP,1.0,18,0.352518
0,1,MLP,1.0,19,0.351019
0,1,MLP,0.5,0,0.824477
0,1,MLP,0.5,1,0.720182
0,1,MLP,0.5,2,0.668915
0,1,MLP,0.5,3,0.648504
0,1,MLP,0.5,4,0.649893
0,1,MLP,0.5,5,0.652944
0,1,MLP,0.5,6,0.653588
0,1,MLP,0.5,7,0.652913
0,1,MLP,0.5,8,0.65179
0,1,MLP,0.5,9,0.651092
0,1,MLP,0.5,10,0.650978
0,1,MLP,0.5,11,0.651219
0,1,MLP,0.5,12,0.651208
0,1,MLP,0.5,13,0.649895
0,1,MLP,0.5,14,0.646094
0,1,MLP,0.5,15,0.640269
0,1,MLP,0.5,16,0.634302
0,1,MLP,0.5,17,0.627858
0,1,MLP,0.5,18,0.619185
0,1,MLP,0.5,19,0.616281
0,1,MLP,0.1,0,1.013256
0,1,MLP,0.1,1,1.085537
0,1,MLP,0.1,2,1.217852
0,1,MLP,0.1,3,1.288512
0,1,MLP,0.1,4,1.331136
0,1,MLP,0.1,5,1.286809
0,1,MLP,0.1,6,1.029164
0,1,MLP,0.1,7,1.22151
0,1,MLP,0.1,8,0.889388
0,1,MLP,0.1,9,1.199366
0,1,MLP,0.1,10,1.255705
0,1,MLP,0.1,11,1.151533
0,1,MLP,0.1,12,0.990895
0,1,MLP,0.1,13,1.142985
0,1,MLP,0.1,14,1.054113
0,1,MLP,0.1,15,1.152278
0,1,MLP,0.1,16,1.014558
0,1,MLP,0.1,17,1.167631
0,1,MLP,0.1,18,1.111217
0,1,MLP,0.1,19,1.19259
0,1,MLP,natural,0,0.731497
0,1,MLP,natural,1,0.613536
0,1,MLP,natural,2,0.553954
0,1,MLP,natural,3,0.51741
0,1,MLP,natural,4,0.495933
0,1,MLP,natural,5,0.482551
0,1,MLP,natural,6,0.478149
0,1,MLP,natural,7,0.476996
0,1,MLP,natural,8,0.474563
0,1,MLP,natural,9,0.471541
0,1,MLP,natural,10,0.468511
0,1,MLP,natural,11,0.465658
0,1,MLP,natural,12,0.4631
0,1,MLP,natural,13,0.460876
0,1,MLP,natural,14,0.458795
0,1,MLP,natural,15,0.457119
0,1,MLP,natural,16,0.455477
0,1,MLP,natural,17,0.4542
0,1,MLP,natural,18,0.452939
0,1,MLP,natural,19,0.451937
0,2,LR,100,0,0.058006
0,2,LR,100,1,0.059254
0,2,LR,100,2,0.060175
0,2,LR,100,3,0.061359
0,2,LR,100,4,0.062591
0,2,LR,100,5,0.063759
0,2,LR,100,6,0.064823
0,2,LR,100,7,0.065773
0,2,LR,100,8,0.066615
0,2,LR,100,9,0.067359
0,2,LR,100,10,0.068017
0,2,LR,100,11,0.068602
0,2,LR,100,12,0.069125
0,2,LR,100,13,0.069594
0,2,LR,100,14,0.070018
0,2,LR,100,15,0.070403
0,2,LR,100,16,0.070755
0,2,LR,100,17,0.071079
0,2,LR,100,18,0.071377
0,2,LR,100,19,0.071654
0,2,LR,1.0,0,0.097973
0,2,LR,1.0,1,0.098943
0,2,LR,1.0,2,0.100062
0,2,LR,1.0,3,0.101219
0,2,LR,1.0,4,0.102304
0,2,LR,1.0,5,0.10327
0,2,LR,1.0,6,0.104109
0,2,LR,1.0,7,0.104826
0,2,LR,1.0,8,0.105438
0,2,LR,1.0,9,0.105958
0,2,LR,1.0,10,0.106402
0,2,LR,1.0,11,0.106784
0,2,LR,1.0,12,0.107115
0,2,LR,1.0,13,0.107404
0,2,LR,1.0,14,0.10766
0,2,LR,1.0,15,0.107888
0,2,LR,1.0,16,0.108094
0,2,LR,1.0,17,0.108282
0,2,LR,1.0,18,0.108456
0,2,LR,1.0,19,0.108617
0,2,LR,0.5,0,0.373451
0,2,LR,0.5,1,0.367618
0,2,LR,0.5,2,0.362368
0,2,LR,0.5,3,0.358525
0,2,LR,0.5,4,0.355738
0,2,LR,0.5,5,0.353659
0,2,LR,0.5,6,0.352053
0,2,LR,0.5,7,0.35077
0,2,LR,0.5,8,0.349711
0,2,LR,0.5,9,0.348814
0,2,LR,0.5,10,0.348036
0,2,LR,0.5,11,0.347348
0,2,LR,0.5,12,0.346733
0,2,LR,0.5,13,0.346176
0,2,LR,0.5,14,0.345667
0,2,LR,0.5,15,0.345201
0,2,LR,0.5,16,0.344772
0,2,LR,0.5,17,0.344375
0,2,LR,0.5,18,0.344008
0,2,LR,0.5,19,0.343668
0,2,LR,0.1,0,0.530613
0,2,LR,0.1,1,0.522025
0,2,LR,0.1,2,0.516039
0,2,LR,0.1,3,0.511215
0,2,LR,0.1,4,0.507223
0,2,LR,0.1,5,0.503865
0,2,LR,0.1,6,0.500996
0,2,LR,0.1,7,0.49851
0,2,LR,0.1,8,0.496328
0,2,LR,0.1,9,0.49439
0,2,LR,0.1,10,0.49265
0,2,LR,0.1,11,0.491076
0,2,LR,0.1,12,0.489639
0,2,LR,0.1,13,0.48832
0,2,LR,0.1,14,0.487103
0,2,LR,0.1,15,0.485973
0,2,LR,0.1,16,0.484922
0,2,LR,0.1,17,0.48394
0,2,LR,0.1,18,0.48302
0,2,LR,0.1,19,0.482157
0,2,LR,natural,0,0.299377
0,2,LR,natural,1,0.295208
0,2,LR,natural,2,0.290794
0,2,LR,natural,3,0.287306
0,2,LR,natural,4,0.284433
0,2,LR,natural,5,0.281919
0,2,LR,natural,6,0.279623
0,2,LR,natural,7,0.27747
0,2,LR,natural,8,0.275422
0,2,LR,natural,9,0.273458
0,2,LR,natural,10,0.271569
0,2,LR,natural,11,0.269751
0,2,LR,natural,12,0.268001
0,2,LR,natural,13,0.266317
0,2,LR,natural,14,0.2647
0,2,LR,natural,15,0.263147
0,2,LR,natural,16,0.261658
0,2,LR,natural,17,0.260231
0,2,LR,natural,18,0.258864
0,2,LR,natural,19,0.257556
0,2,MLP,100,0,0.16475
0,2,MLP,100,1,0.145693
0,2,MLP,100,2,0.156661
0,2,MLP,100,3,0.175191
0,2,MLP,100,4,0.203543
0,2,MLP,100,5,0.238632
0,2,MLP,100,6,0.264522
0,2,MLP,100,7,0.286408
0,2,MLP,100,8,0.280965
0,2,MLP,100,9,0.306333
0,2,MLP,100,10,0.256716
0,2,MLP,100,11,0.298347
0,2,MLP,100,12,0.228659
0,2,MLP,100,13,0.280533
0,2,MLP,100,14,0.22793
0,2,MLP,100,15,0.27838
0,2,MLP,100,16,0.232406
0,2,MLP,100,17,0.280032
0,2,MLP,100,18,0.237309
0,2,MLP,100,19,0.284075
0,2,MLP,1.0,0,0.238786
0,2,MLP,1.0,1,0.206417
0,2,MLP,1.0,2,0.208165
0,2,MLP,1.0,3,0.225837
0,2,MLP,1.0,4,0.260824
0,2,MLP,1.0,5,0.30051
0,2,MLP,1.0,6,0.33733
0,2,MLP,1.0,7,0.329877
0,2,MLP,1.0,8,0.329763
0,2,MLP,1.0,9,0.357649
0,2,MLP,1.0,10,0.31243
0,2,MLP,1.0,11,0.328519
0,2,MLP,1.0,12,0.316755
0,2,MLP,1.0,13,0.314793
0,2,MLP,1.0,14,0.31926
