seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
0,0,LR,arm1,,global,184,0.7826,0.8058,0.8573
0,0,LR,arm1,100,0,35,0.7429,0.7568,0.8191
0,0,LR,arm1,100,1,47,0.8085,0.8235,0.808
0,0,LR,arm1,100,2,50,0.82,0.8364,0.8961
0,0,LR,arm1,100,3,52,0.75,0.7937,0.8833
0,0,LR,arm1,1.0,0,32,0.7812,0.7879,0.8945
0,0,LR,arm1,1.0,1,72,0.8056,0.8409,0.8222
0,0,LR,arm1,1.0,2,48,0.8125,0.8302,0.8642
0,0,LR,arm1,1.0,3,32,0.6875,0.6875,0.9028
0,0,LR,arm1,0.5,0,62,0.7581,0.6341,0.8068
0,0,LR,arm1,0.5,1,69,0.8696,0.9268,0.9293
0,0,LR,arm1,0.5,2,33,0.697,0.6429,0.8843
0,0,LR,arm1,0.5,3,20,0.7,0.5714,0.881
0,0,LR,arm1,0.1,0,61,0.7705,0.0,nan
0,0,LR,arm1,0.1,1,100,0.83,0.9071,nan
0,0,LR,arm1,0.1,2,14,0.5714,0.0,nan
0,0,LR,arm1,0.1,3,9,0.6667,0.0,0.75
0,0,LR,arm1,natural,0,66,0.7727,0.7458,0.8608
0,0,LR,arm1,natural,1,60,0.8333,0.8148,0.9342
0,0,LR,arm1,natural,2,22,0.7727,0.8649,0.625
0,0,LR,arm1,natural,3,36,0.7222,0.8214,0.6502
0,0,LR,arm2,100,global,184,0.7826,0.8058,0.8502
0,0,LR,arm2,100,0,35,0.7429,0.7568,0.8224
0,0,LR,arm2,100,1,47,0.8298,0.84,0.8098
0,0,LR,arm2,100,2,50,0.8,0.8214,0.8896
0,0,LR,arm2,100,3,52,0.75,0.7937,0.8621
0,0,LR,arm2,1.0,global,184,0.7826,0.8058,0.8501
0,0,LR,arm2,1.0,0,32,0.7812,0.7879,0.8906
0,0,LR,arm2,1.0,1,72,0.8056,0.8409,0.8198
0,0,LR,arm2,1.0,2,48,0.8125,0.8302,0.8571
0,0,LR,arm2,1.0,3,32,0.6875,0.6875,0.8826
0,0,LR,arm2,0.5,global,184,0.7772,0.8057,0.848
0,0,LR,arm2,0.5,0,62,0.7258,0.6222,0.803
0,0,LR,arm2,0.5,1,69,0.8841,0.9355,0.9242
0,0,LR,arm2,0.5,2,33,0.697,0.6429,0.8595
0,0,LR,arm2,0.5,3,20,0.7,0.5714,0.869
0,0,LR,arm2,0.1,global,184,0.7772,0.8038,0.8485
0,0,LR,arm2,0.1,0,61,0.7377,0.0,nan
0,0,LR,arm2,0.1,1,100,0.84,0.913,nan
0,0,LR,arm2,0.1,2,14,0.5714,0.0,nan
0,0,LR,arm2,0.1,3,9,0.6667,0.0,0.75
0,0,LR,arm2,natural,global,184,0.7826,0.8039,0.8442
0,0,LR,arm2,natural,0,66,0.7879,0.7586,0.8544
0,0,LR,arm2,natural,1,60,0.8333,0.8148,0.9295
0,0,LR,arm2,natural,2,22,0.7727,0.8649,0.6
0,0,LR,arm2,natural,3,36,0.6944,0.8,0.6296
0,0,MLP,arm1,,global,184,0.7826,0.8113,0.8671
0,0,MLP,arm1,100,0,35,0.7143,0.75,0.8355
0,0,MLP,arm1,100,1,47,0.766,0.7925,0.8279
0,0,MLP,arm1,100,2,50,0.86,0.8727,0.9172
0,0,MLP,arm1,100,3,52,0.7692,0.8125,0.8803
