arm,alpha,seed,f1,auroc,accuracy,rounds_to_converge,wall_clock_sec,n_qubits,circuit_depth
timing_spike_E1,,,,,,,232.1,6,3
timing_spike_E5,,,,,,,1107.6,6,3
parallel_test_baseline_4client_10rd,,,,,,,235.53,6,3
parallel_test_4x_default_env,,,,,,,260.8,6,3
parallel_test_4x_omp4_env,,,,,,,259.59,6,3
arm1,,0,0.8039,0.8873,0.7826,,0.011,,
arm2,100,0,0.806,0.8832,0.788,20,0.028,,
arm1,,1,0.8213,0.8861,0.7989,,0.01,,
arm1,,2,0.8224,0.8613,0.7935,,0.011,,
arm1,,3,0.7463,0.8148,0.7228,,0.01,,
arm1,,4,0.8038,0.8582,0.7772,,0.01,,
arm2,100,1,0.8173,0.882,0.7935,20,0.027,,
arm2,100,2,0.8263,0.8605,0.7989,20,0.026,,
arm2,100,3,0.7374,0.81,0.7174,20,0.029,,
arm2,100,4,0.7943,0.8532,0.7663,20,0.03,,
arm2,1.0,0,0.8119,0.8834,0.7935,20,0.031,,
arm2,1.0,1,0.8173,0.8813,0.7935,20,0.028,,
arm2,1.0,2,0.8263,0.8613,0.7989,20,0.028,,
arm2,1.0,3,0.7347,0.8103,0.7174,20,0.03,,
arm2,1.0,4,0.7943,0.8525,0.7663,20,0.028,,
arm2,0.5,0,0.8079,0.8842,0.788,20,0.03,,
arm2,0.5,1,0.8173,0.881,0.7935,20,0.028,,
arm2,0.5,2,0.8224,0.8594,0.7935,20,0.02,,
arm2,0.5,3,0.73,0.8086,0.7065,20,0.029,,
arm2,0.5,4,0.7962,0.8521,0.7663,20,0.017,,
arm2,0.1,0,0.8318,0.8825,0.8043,20,0.016,,
arm2,0.1,1,0.823,0.882,0.7989,20,0.016,,
arm2,0.1,2,0.8203,0.8599,0.788,20,0.015,,
arm2,0.1,3,0.7363,0.8044,0.712,20,0.016,,
arm2,0.1,4,0.8037,0.8534,0.7717,20,0.016,,
