arm,alpha,seed,f1,auroc,accuracy,rounds_to_converge,wall_clock_sec,n_qubits,circuit_depth
arm5,100,0,0.7173,0.717,0.6359,,379.16,6,3
arm5,100,0,0.7544,0.7486,0.6957,,417.88,6,3
arm5,100,0,0.7521,0.7129,0.6848,,421.54,6,3
arm5,100,0,0.733,0.7223,0.6793,,424.85,6,3
arm5,100,0,0.7064,0.6948,0.625,,426.41,6,3
arm5,100,1,0.7642,0.7994,0.7283,,409.98,6,3
arm5,100,1,0.7455,0.7861,0.6957,,414.37,6,3
arm5,100,1,0.7843,0.7874,0.7609,,411.31,6,3
arm5,100,1,0.7512,0.7996,0.712,,410.75,6,3
arm5,100,2,0.7545,0.8122,0.7065,,415.28,6,3
arm5,100,1,0.7905,0.8685,0.7609,,417.8,6,3
arm5,100,2,0.7757,0.8384,0.7391,,414.66,6,3
arm5,100,2,0.7343,0.7752,0.7011,,418.98,6,3
arm5,100,2,0.7389,0.7658,0.712,,413.25,6,3
arm5,100,2,0.757,0.8199,0.7174,,417.64,6,3
arm5,100,3,0.7401,0.7202,0.6793,,415.83,6,3
arm5,100,3,0.6888,0.6536,0.5924,,412.72,6,3
arm5,100,3,0.7117,0.7117,0.6522,,413.48,6,3
arm5,100,4,0.8037,0.826,0.7717,,413.4,6,3
arm5,100,3,0.7679,0.7028,0.7011,,416.48,6,3
arm5,100,3,0.7168,0.7159,0.6522,,419.12,6,3
arm5,100,4,0.8116,0.8521,0.788,,413.28,6,3
arm5,100,4,0.7843,0.8367,0.7609,,420.67,6,3
arm5,100,4,0.8,0.8035,0.7717,,412.2,6,3
arm5,100,4,0.7944,0.8346,0.7609,,414.84,6,3
arm5,100,5,0.7545,0.8159,0.7065,,413.76,6,3
arm5,100,5,0.7477,0.8011,0.7065,,411.57,6,3
arm5,100,5,0.7353,0.7671,0.7065,,416.56,6,3
arm5,100,5,0.7404,0.7686,0.7065,,415.91,6,3
arm5,100,6,0.7455,0.7351,0.6957,,410.71,6,3
arm5,100,5,0.7064,0.7369,0.6522,,412.99,6,3
arm5,100,6,0.7411,0.7125,0.6848,,414.25,6,3
arm5,100,6,0.75,0.7536,0.6848,,413.14,6,3
arm5,100,6,0.7163,0.7073,0.6685,,416.95,6,3
arm5,100,6,0.7349,0.7619,0.6902,,416.93,6,3
arm5,100,7,0.7885,0.8546,0.7609,,415.27,6,3
arm5,100,7,0.7981,0.8533,0.7717,,417.93,6,3
arm5,100,7,0.8,0.8509,0.7772,,413.48,6,3
arm5,100,8,0.8075,0.8454,0.7772,,409.61,6,3
arm5,100,7,0.7981,0.8224,0.7663,,416.0,6,3
arm5,100,7,0.789,0.7743,0.75,,412.78,6,3
arm5,100,8,0.8374,0.8598,0.8207,,408.53,6,3
arm5,100,8,0.7636,0.8077,0.7174,,417.89,6,3
arm5,100,8,0.7343,0.7644,0.7011,,415.95,6,3
arm5,100,8,0.756,0.789,0.7228,,419.38,6,3
arm5,100,9,0.7281,0.7751,0.663,,418.11,6,3
arm5,100,9,0.7558,0.7957,0.712,,417.02,6,3
arm5,100,9,0.75,0.775,0.7065,,417.63,6,3
arm5,100,9,0.7184,0.7691,0.6848,,415.02,6,3
arm5,100,9,0.8137,0.8451,0.7935,,410.22,6,3
arm5,1.0,0,0.719,0.7112,0.6304,,410.82,6,3
arm5,1.0,0,0.7059,0.6934,0.6196,,409.75,6,3
arm5,1.0,0,0.7479,0.7104,0.6739,,414.58,6,3
arm5,1.0,0,0.7511,0.7491,0.6902,,408.32,6,3
arm5,1.0,0,0.7297,0.7209,0.6739,,407.72,6,3
arm5,1.0,1,0.7633,0.7958,0.7337,,416.72,6,3
arm5,1.0,1,0.7788,0.8054,0.75,,415.72,6,3
arm5,1.0,1,0.756,0.821,0.7228,,407.08,6,3
arm5,1.0,1,0.7723,0.786,0.75,,408.4,6,3
arm5,1.0,1,0.8252,0.8796,0.8043,,409.57,6,3
arm5,1.0,2,0.7602,0.8107,0.712,,414.74,6,3
arm5,1.0,2,0.77,0.831,0.7337,,407.84,6,3
arm5,1.0,2,0.7343,0.7685,0.7011,,411.69,6,3
arm5,1.0,2,0.757,0.8198,0.7174,,416.0,6,3
arm5,1.0,2,0.7122,0.7573,0.6793,,410.0,6,3
arm5,1.0,3,0.7391,0.7145,0.6739,,416.89,6,3
arm5,1.0,3,0.6888,0.6498,0.5924,,415.24,6,3
arm5,1.0,3,0.7156,0.7142,0.663,,417.51,6,3
arm5,1.0,3,0.7679,0.7043,0.7011,,416.71,6,3
arm5,1.0,3,0.708,0.71,0.6413,,412.74,6,3
arm5,1.0,4,0.8019,0.8222,0.7717,,418.18,6,3
arm5,1.0,4,0.8116,0.848,0.788,,410.47,6,3
arm5,1.0,4,0.78,0.8355,0.7609,,416.63,6,3
arm5,1.0,4,0.7887,0.8283,0.7554,,414.76,6,3
arm5,1.0,4,0.7923,0.8018,0.7663,,412.23,6,3
arm5,1.0,5,0.722,0.7986,0.6902,,411.34,6,3
arm5,1.0,5,0.7742,0.8224,0.7337,,409.75,6,3
arm5,1.0,5,0.7805,0.8211,0.7554,,415.71,6,3
arm5,1.0,5,0.7404,0.7936,0.7065,,413.43,6,3
arm5,1.0,5,0.7248,0.749,0.6739,,415.4,6,3
arm5,1.0,6,0.7289,0.7294,0.6685,,418.72,6,3
arm5,1.0,6,0.7345,0.7071,0.6739,,411.04,6,3
arm5,1.0,6,0.7574,0.7471,0.6902,,420.91,6,3
arm5,1.0,6,0.7163,0.7053,0.6685,,415.85,6,3
arm5,1.0,6,0.758,0.7551,0.712,,415.49,6,3
arm5,1.0,7,0.7885,0.8544,0.7609,,420.36,6,3
arm5,1.0,7,0.8019,0.8504,0.7772,,419.47,6,3
arm5,1.0,7,0.8,0.851,0.7772,,415.99,6,3
arm5,1.0,7,0.7887,0.8211,0.7554,,418.86,6,3
arm5,1.0,7,0.789,0.7739,0.75,,411.5,6,3
arm5,1.0,8,0.8019,0.8433,0.7717,,409.63,6,3
arm5,1.0,8,0.7636,0.8055,0.7174,,411.74,6,3
arm5,1.0,8,0.756,0.7883,0.7228,,415.25,6,3
arm5,1.0,8,0.7317,0.7617,0.7011,,413.29,6,3
arm5,1.0,8,0.8374,0.856,0.8207,,410.02,6,3
arm5,1.0,9,0.7615,0.8007,0.7174,,411.14,6,3
arm5,1.0,9,0.7558,0.7999,0.712,,410.76,6,3
arm5,1.0,9,0.7324,0.7547,0.6902,,414.25,6,3
arm5,1.0,9,0.7059,0.7621,0.6739,,412.7,6,3
arm5,1.0,9,0.8019,0.841,0.7772,,411.47,6,3
arm5,0.5,0,0.7177,0.5373,0.6196,,415.32,6,3
arm5,0.5,0,0.72,0.5817,0.6196,,412.76,6,3
arm5,0.5,0,0.7619,0.571,0.6739,,421.53,6,3
arm5,0.5,0,0.7407,0.6462,0.6576,,411.5,6,3
arm5,0.5,0,0.7426,0.6205,0.6685,,411.47,6,3
arm5,0.5,1,0.7488,0.7982,0.712,,414.57,6,3
