seed,fold,model,condition,round,mean_pairwise_l2
0,0,weak-MLP,100,0,0.054989
0,0,weak-MLP,100,1,0.056849
0,0,weak-MLP,100,2,0.061635
0,0,weak-MLP,100,3,0.067344
0,0,weak-MLP,1.0,0,0.086747
0,0,weak-MLP,1.0,1,0.086308
0,0,weak-MLP,1.0,2,0.0928
0,0,weak-MLP,1.0,3,0.100599
0,0,weak-MLP,0.5,0,0.370652
0,0,weak-MLP,0.5,1,0.365284
0,0,weak-MLP,0.5,2,0.385317
0,0,weak-MLP,0.5,3,0.409004
0,0,weak-MLP,0.1,0,0.444317
0,0,weak-MLP,0.1,1,0.437255
0,0,weak-MLP,0.1,2,0.459365
0,0,weak-MLP,0.1,3,0.485247
0,0,weak-MLP,natural,0,0.284282
0,0,weak-MLP,natural,1,0.279354
0,0,weak-MLP,natural,2,0.292304
0,0,weak-MLP,natural,3,0.307474
0,1,weak-MLP,100,0,0.033169
0,1,weak-MLP,100,1,0.033216
0,1,weak-MLP,100,2,0.037023
0,1,weak-MLP,100,3,0.042032
0,1,weak-MLP,1.0,0,0.101642
0,1,weak-MLP,1.0,1,0.099799
0,1,weak-MLP,1.0,2,0.10567
0,1,weak-MLP,1.0,3,0.112649
0,1,weak-MLP,0.5,0,0.349818
0,1,weak-MLP,0.5,1,0.343241
0,1,weak-MLP,0.5,2,0.359826
0,1,weak-MLP,0.5,3,0.379261
0,1,weak-MLP,0.1,0,0.441755
0,1,weak-MLP,0.1,1,0.433762
0,1,weak-MLP,0.1,2,0.454325
0,1,weak-MLP,0.1,3,0.478393
0,1,weak-MLP,natural,0,0.268473
0,1,weak-MLP,natural,1,0.264872
0,1,weak-MLP,natural,2,0.277045
0,1,weak-MLP,natural,3,0.291089
0,2,weak-MLP,100,0,0.04857
0,2,weak-MLP,100,1,0.049387
0,2,weak-MLP,100,2,0.053302
0,2,weak-MLP,100,3,0.058019
0,2,weak-MLP,1.0,0,0.086219
0,2,weak-MLP,1.0,1,0.086125
0,2,weak-MLP,1.0,2,0.091954
0,2,weak-MLP,1.0,3,0.09886
0,2,weak-MLP,0.5,0,0.347678
0,2,weak-MLP,0.5,1,0.343082
0,2,weak-MLP,0.5,2,0.359789
0,2,weak-MLP,0.5,3,0.379144
0,2,weak-MLP,0.1,0,0.440086
0,2,weak-MLP,0.1,1,0.434918
0,2,weak-MLP,0.1,2,0.456124
0,2,weak-MLP,0.1,3,0.48039
0,2,weak-MLP,natural,0,0.287464
0,2,weak-MLP,natural,1,0.28662
0,2,weak-MLP,natural,2,0.301861
0,2,weak-MLP,natural,3,0.319228
0,3,weak-MLP,100,0,0.042097
0,3,weak-MLP,100,1,0.042361
0,3,weak-MLP,100,2,0.046746
0,3,weak-MLP,100,3,0.051969
0,3,weak-MLP,1.0,0,0.086551
0,3,weak-MLP,1.0,1,0.086906
0,3,weak-MLP,1.0,2,0.093782
0,3,weak-MLP,1.0,3,0.101895
0,3,weak-MLP,0.5,0,0.343401
0,3,weak-MLP,0.5,1,0.33837
0,3,weak-MLP,0.5,2,0.355714
0,3,weak-MLP,0.5,3,0.375663
0,3,weak-MLP,0.1,0,0.443851
0,3,weak-MLP,0.1,1,0.437534
0,3,weak-MLP,0.1,2,0.459743
0,3,weak-MLP,0.1,3,0.485061
0,3,weak-MLP,natural,0,0.274462
0,3,weak-MLP,natural,1,0.272009
0,3,weak-MLP,natural,2,0.284975
0,3,weak-MLP,natural,3,0.299639
0,4,weak-MLP,100,0,0.062035
0,4,weak-MLP,100,1,0.062573
0,4,weak-MLP,100,2,0.067054
0,4,weak-MLP,100,3,0.072332
0,4,weak-MLP,1.0,0,0.084636
0,4,weak-MLP,1.0,1,0.087195
0,4,weak-MLP,1.0,2,0.0946
0,4,weak-MLP,1.0,3,0.103242
0,4,weak-MLP,0.5,0,0.341228
0,4,weak-MLP,0.5,1,0.337688
0,4,weak-MLP,0.5,2,0.355891
0,4,weak-MLP,0.5,3,0.377061
0,4,weak-MLP,0.1,0,0.447582
0,4,weak-MLP,0.1,1,0.441901
0,4,weak-MLP,0.1,2,0.464172
0,4,weak-MLP,0.1,3,0.489682
0,4,weak-MLP,natural,0,0.285536
0,4,weak-MLP,natural,1,0.283034
0,4,weak-MLP,natural,2,0.296412
0,4,weak-MLP,natural,3,0.311581
1,0,weak-MLP,100,0,0.027589
1,0,weak-MLP,100,1,0.02635
1,0,weak-MLP,100,2,0.025543
1,0,weak-MLP,100,3,0.025071
1,0,weak-MLP,1.0,0,0.272885
1,0,weak-MLP,1.0,1,0.268376
1,0,weak-MLP,1.0,2,0.265542
1,0,weak-MLP,1.0,3,0.263963
1,0,weak-MLP,0.5,0,0.241356
1,0,weak-MLP,0.5,1,0.237302
1,0,weak-MLP,0.5,2,0.234705
1,0,weak-MLP,0.5,3,0.233229
1,0,weak-MLP,0.1,0,0.335114
1,0,weak-MLP,0.1,1,0.329977
1,0,weak-MLP,0.1,2,0.32675
1,0,weak-MLP,0.1,3,0.324976
1,0,weak-MLP,natural,0,0.226651
1,0,weak-MLP,natural,1,0.223905
1,0,weak-MLP,natural,2,0.22213
1,0,weak-MLP,natural,3,0.221073
1,1,weak-MLP,100,0,0.026913
1,1,weak-MLP,100,1,0.026301
1,1,weak-MLP,100,2,0.025888
1,1,weak-MLP,100,3,0.025622
1,1,weak-MLP,1.0,0,0.273732
1,1,weak-MLP,1.0,1,0.269021
1,1,weak-MLP,1.0,2,0.265932
1,1,weak-MLP,1.0,3,0.26411
1,1,weak-MLP,0.5,0,0.245276
1,1,weak-MLP,0.5,1,0.240791
1,1,weak-MLP,0.5,2,0.237811
1,1,weak-MLP,0.5,3,0.236039
1,1,weak-MLP,0.1,0,0.339055
1,1,weak-MLP,0.1,1,0.333422
1,1,weak-MLP,0.1,2,0.329714
1,1,weak-MLP,0.1,3,0.327549
1,1,weak-MLP,natural,0,0.214869
1,1,weak-MLP,natural,1,0.211881
1,1,weak-MLP,natural,2,0.209904
1,1,weak-MLP,natural,3,0.208702
1,2,weak-MLP,100,0,0.030304
1,2,weak-MLP,100,1,0.029762
1,2,weak-MLP,100,2,0.029387
1,2,weak-MLP,100,3,0.029147
1,2,weak-MLP,1.0,0,0.27588
1,2,weak-MLP,1.0,1,0.271964
1,2,weak-MLP,1.0,2,0.269505
1,2,weak-MLP,1.0,3,0.268114
1,2,weak-MLP,0.5,0,0.252684
1,2,weak-MLP,0.5,1,0.249124
1,2,weak-MLP,0.5,2,0.246825
1,2,weak-MLP,0.5,3,0.245477
1,2,weak-MLP,0.1,0,0.337055
1,2,weak-MLP,0.1,1,0.332429
1,2,weak-MLP,0.1,2,0.329539
1,2,weak-MLP,0.1,3,0.32794
1,2,weak-MLP,natural,0,0.215513
1,2,weak-MLP,natural,1,0.213004
1,2,weak-MLP,natural,2,0.211409
1,2,weak-MLP,natural,3,0.21046
1,3,weak-MLP,100,0,0.032456
1,3,weak-MLP,100,1,0.03179
1,3,weak-MLP,100,2,0.031314
1,3,weak-MLP,100,3,0.030985
1,3,weak-MLP,1.0,0,0.267912
1,3,weak-MLP,1.0,1,0.263925
1,3,weak-MLP,1.0,2,0.261362
1,3,weak-MLP,1.0,3,0.259875
1,3,weak-MLP,0.5,0,0.248067
1,3,weak-MLP,0.5,1,0.244408
1,3,weak-MLP,0.5,2,0.241979
1,3,weak-MLP,0.5,3,0.240518
1,3,weak-MLP,0.1,0,0.337515
1,3,weak-MLP,0.1,1,0.332467
1,3,weak-MLP,0.1,2,0.329188
1,3,weak-MLP,0.1,3,0.327282
1,3,weak-MLP,natural,0,0.216623
1,3,weak-MLP,natural,1,0.214077
1,3,weak-MLP,natural,2,0.212426
1,3,weak-MLP,natural,3,0.211433
1,4,weak-MLP,100,0,0.029884
1,4,weak-MLP,100,1,0.028933
1,4,weak-MLP,100,2,0.028263
1,4,weak-MLP,100,3,0.027841
1,4,weak-MLP,1.0,0,0.274484
1,4,weak-MLP,1.0,1,0.269999
1,4,weak-MLP,1.0,2,0.267117
1,4,weak-MLP,1.0,3,0.265458
1,4,weak-MLP,0.5,0,0.2461
1,4,weak-MLP,0.5,1,0.242174
1,4,weak-MLP,0.5,2,0.239583
1,4,weak-MLP,0.5,3,0.238048
1,4,weak-MLP,0.1,0,0.333665
1,4,weak-MLP,0.1,1,0.32841
1,4,weak-MLP,0.1,2,0.324993
1,4,weak-MLP,0.1,3,0.323011
1,4,weak-MLP,natural,0,0.214709
1,4,weak-MLP,natural,1,0.211873
1,4,weak-MLP,natural,2,0.209997
1,4,weak-MLP,natural,3,0.208849
2,0,weak-MLP,100,0,0.020879
2,0,weak-MLP,100,1,0.021095
2,0,weak-MLP,100,2,0.021473
2,0,weak-MLP,100,3,0.022026
2,0,weak-MLP,1.0,0,0.146538
2,0,weak-MLP,1.0,1,0.146481
2,0,weak-MLP,1.0,2,0.146758
2,0,weak-MLP,1.0,3,0.147407
2,0,weak-MLP,0.5,0,0.283844
2,0,weak-MLP,0.5,1,0.283737
2,0,weak-MLP,0.5,2,0.284451
2,0,weak-MLP,0.5,3,0.286081
2,0,weak-MLP,0.1,0,0.322449
2,0,weak-MLP,0.1,1,0.32247
2,0,weak-MLP,0.1,2,0.323388
2,0,weak-MLP,0.1,3,0.325308
2,0,weak-MLP,natural,0,0.18234
2,0,weak-MLP,natural,1,0.181836
2,0,weak-MLP,natural,2,0.181976
2,0,weak-MLP,natural,3,0.182825
2,1,weak-MLP,100,0,0.021169
