seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
0,0,weak-MLP,arm2,100,global,184,0.7554,0.8035,0.8314
0,0,weak-MLP,arm2,100,0,35,0.6857,0.7442,0.7829
0,0,weak-MLP,arm2,100,1,47,0.7234,0.7719,0.7989
0,0,weak-MLP,arm2,100,2,50,0.82,0.8525,0.875
0,0,weak-MLP,arm2,100,3,52,0.7692,0.8235,0.85
0,0,weak-MLP,arm2,1.0,global,184,0.7554,0.8035,0.8314
0,0,weak-MLP,arm2,1.0,0,32,0.7188,0.7692,0.8828
0,0,weak-MLP,arm2,1.0,1,72,0.7639,0.8283,0.8
0,0,weak-MLP,arm2,1.0,2,48,0.7708,0.807,0.8395
0,0,weak-MLP,arm2,1.0,3,32,0.75,0.7647,0.8745
0,0,weak-MLP,arm2,0.5,global,184,0.7554,0.8035,0.8314
0,0,weak-MLP,arm2,0.5,0,62,0.5968,0.5455,0.7576
0,0,weak-MLP,arm2,0.5,1,69,0.9275,0.9606,0.9444
0,0,weak-MLP,arm2,0.5,2,33,0.6667,0.6452,0.8306
0,0,weak-MLP,arm2,0.5,3,20,0.8,0.75,0.869
0,0,weak-MLP,arm2,0.1,global,184,0.7554,0.8035,0.8314
0,0,weak-MLP,arm2,0.1,0,61,0.5738,0.0,nan
0,0,weak-MLP,arm2,0.1,1,100,0.91,0.9529,nan
0,0,weak-MLP,arm2,0.1,2,14,0.4286,0.0,nan
0,0,weak-MLP,arm2,0.1,3,9,0.7778,0.5,0.75
0,0,weak-MLP,arm2,natural,global,184,0.7554,0.8035,0.8314
0,0,weak-MLP,arm2,natural,0,66,0.7121,0.7467,0.8498
0,0,weak-MLP,arm2,natural,1,60,0.7833,0.7719,0.9201
0,0,weak-MLP,arm2,natural,2,22,0.8636,0.9231,0.625
0,0,weak-MLP,arm2,natural,3,36,0.7222,0.8276,0.642
0,1,weak-MLP,arm2,100,global,184,0.75,0.8115,0.873
0,1,weak-MLP,arm2,100,0,37,0.5946,0.6667,0.8244
0,1,weak-MLP,arm2,100,1,41,0.8537,0.8889,0.8995
0,1,weak-MLP,arm2,100,2,49,0.8367,0.8824,0.886
0,1,weak-MLP,arm2,100,3,57,0.7018,0.7792,0.8901
0,1,weak-MLP,arm2,1.0,global,184,0.75,0.8115,0.873
0,1,weak-MLP,arm2,1.0,0,38,0.6579,0.7347,0.925
0,1,weak-MLP,arm2,1.0,1,62,0.8387,0.881,0.8406
0,1,weak-MLP,arm2,1.0,2,48,0.75,0.8065,0.9353
0,1,weak-MLP,arm2,1.0,3,36,0.6944,0.7755,0.8483
0,1,weak-MLP,arm2,0.5,global,184,0.75,0.8115,0.873
0,1,weak-MLP,arm2,0.5,0,57,0.5965,0.5106,0.8059
0,1,weak-MLP,arm2,0.5,1,75,0.9467,0.9714,0.8743
0,1,weak-MLP,arm2,0.5,2,33,0.7273,0.7692,0.9704
0,1,weak-MLP,arm2,0.5,3,19,0.4737,0.4444,0.9333
0,1,weak-MLP,arm2,0.1,global,184,0.75,0.8115,0.873
0,1,weak-MLP,arm2,0.1,0,59,0.5085,0.0,nan
0,1,weak-MLP,arm2,0.1,1,102,0.9706,0.9851,nan
0,1,weak-MLP,arm2,0.1,2,16,0.375,0.0,nan
0,1,weak-MLP,arm2,0.1,3,7,0.4286,0.0,nan
0,1,weak-MLP,arm2,natural,global,184,0.75,0.8115,0.873
0,1,weak-MLP,arm2,natural,0,64,0.7188,0.75,0.9038
0,1,weak-MLP,arm2,natural,1,51,0.6275,0.5957,0.8407
0,1,weak-MLP,arm2,natural,2,28,0.9643,0.9818,0.8889
0,1,weak-MLP,arm2,natural,3,41,0.8049,0.8857,0.8056
0,2,weak-MLP,arm2,100,global,184,0.7337,0.7897,0.8211
0,2,weak-MLP,arm2,100,0,37,0.7297,0.7727,0.8246
0,2,weak-MLP,arm2,100,1,53,0.7925,0.8358,0.8408
0,2,weak-MLP,arm2,100,2,46,0.7174,0.7797,0.76
